SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.89453396037314
2;225;0.896325043560906
3;216;0.8889651033181857
4;211;0.884705248023005
5;205;0.8788861338928095
6;199;0.8721048354327509
7;198;0.8777686628383922
8;196;0.8756813417190774
9;195;0.8835978835978836
10;195;0.8838095238095238
11;193;0.8906926406926408
12;193;0.8906926406926408
13;192;0.8939244663382595
14;191;0.9000000000000001
15;191;0.9000000000000001
16;191;0.9000000000000001
17;190;0.9008273703041145
18;190;0.9008273703041145
19;189;0.9062217194570136
20;187;0.9077277970011535
21;185;0.9076470588235295
22;179;0.9144110275689223
23;176;0.9173136645962733
24;173;0.9178705189941145
25;155;0.9138162307176392
26;134;0.9164285714285715
27;112;0.9135853759867054
28;106;0.9181910569105691
29;97;0.9151234567901234
30;92;0.898989898989899
31;90;0.9037499999999999
32;86;0.9292929292929293
33;86;0.9292929292929293
34;83;0.924812030075188
35;81;0.8973684210526316
36;79;0.9216216216216215
ROC_AUC_SCORE weighted;0.8988655513612444;
F1_SCORE weighted;0.8333523316398996;
