SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9240613676663326
2;225;0.9253920481546017
3;216;0.9316642373317328
4;211;0.931883537023724
5;205;0.9372496662216288
6;199;0.9336651767574156
7;198;0.9344749794913864
8;196;0.9588050314465408
9;195;0.974074074074074
10;195;0.9773544973544973
11;193;0.9823593073593073
12;193;0.9835497835497835
13;192;0.9863163656267104
14;191;0.989922480620155
15;191;0.989922480620155
16;191;0.992469545957918
17;190;0.9923971377459749
18;190;0.9948568872987478
19;189;0.9955882352941177
20;187;0.9955017301038063
21;185;0.9954117647058823
22;179;0.9959899749373433
23;176;0.9958592132505175
24;173;0.9986623863028357
25;155;0.9983232729711603
26;134;0.9978571428571428
27;112;0.9966763606148733
28;106;0.9964430894308942
29;97;0.9969135802469136
30;92;0.9955106621773289
31;90;0.995
32;86;0.9942279942279942
33;86;0.9942279942279942
34;83;0.9924812030075189
35;81;0.9894736842105264
36;79;0.9891891891891892
ROC_AUC_SCORE weighted;0.975086014602809;
F1_SCORE weighted;0.9236178263771356;
