SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5
2;225;0.5
3;216;0.5
4;211;0.5
5;205;0.5
6;199;0.5
7;198;0.5
8;196;0.5
9;195;0.5
10;195;0.5
11;193;0.5
12;193;0.5
13;192;0.5
14;191;0.5
15;191;0.5
16;191;0.5
17;190;0.5
18;190;0.5
19;189;0.5
20;187;0.5
21;185;0.5
22;179;0.5
23;176;0.5
24;173;0.5
25;155;0.5
26;134;0.5
27;112;0.5
28;106;0.5
29;97;0.5
30;92;0.5
31;90;0.5
32;86;0.5
33;86;0.5
34;83;0.5
35;81;0.5
36;79;0.5
ROC_AUC_SCORE weighted;0.5;
F1_SCORE weighted;0.0;
