SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.6933000774060377
2;227;0.6930735930735931
3;218;0.7216542322925302
4;213;0.7297555385790679
5;207;0.7382617382617382
6;200;0.7657058388765706
7;200;0.7650723260479358
8;198;0.851776322850703
9;198;0.9105935386927122
10;198;0.9184286787592573
11;195;0.9171252476337222
12;195;0.923728813559322
13;194;0.9302919302919302
14;192;0.9439655172413793
15;192;0.9439655172413793
16;192;0.9438520871143377
17;192;0.9437386569872959
18;192;0.9443058076225046
19;191;0.944050343249428
20;191;0.944050343249428
21;191;0.944050343249428
22;190;0.9437903970452447
23;190;0.9436749769159741
24;189;0.9585964912280702
25;189;0.9585964912280702
26;189;0.9585964912280702
27;185;0.9589478859390363
28;184;0.9587053571428571
29;182;0.9608585858585859
30;182;0.9608585858585859
31;178;0.9594468820635553
32;175;0.9581624282198525
33;172;0.9582618639222412
34;170;0.9580952380952381
35;168;0.9585789871504157
36;165;0.9588161603507673
37;160;0.9576088756416626
38;159;0.9571763131482102
39;157;0.960724043715847
40;157;0.960724043715847
ROC_AUC_SCORE weighted;0.9016175959498431;
F1_SCORE weighted;0.8939449429542812;
