SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5855336716263869
2;227;0.5857142857142857
3;218;0.5998894722298977
4;213;0.6100076394194042
5;207;0.6171828171828172
6;200;0.6322458029775102
7;200;0.6348854397634885
8;198;0.786841257915638
9;198;0.8469464419877643
10;198;0.8487710636470968
11;195;0.8511996478098173
12;195;0.8562623816861105
13;194;0.858918858918859
14;192;0.8580989110707804
15;192;0.8580989110707804
16;192;0.8577586206896552
17;192;0.8577586206896552
18;192;0.8583257713248639
19;191;0.8577803203661327
20;191;0.8577803203661327
21;191;0.8577803203661327
22;190;0.8573407202216067
23;190;0.8573407202216067
24;189;0.8721637426900585
25;189;0.8721637426900585
26;189;0.8721637426900585
27;185;0.8715585054080628
28;184;0.8705357142857144
29;182;0.872979797979798
30;182;0.872979797979798
31;178;0.8681026459247441
32;175;0.8672409078479628
33;172;0.8639222412807319
34;170;0.8625641025641024
35;168;0.8622826908541195
36;165;0.8676792984653929
37;160;0.8668653750620965
38;159;0.8670123787219807
39;157;0.8690232240437159
40;157;0.8688524590163935
ROC_AUC_SCORE weighted;0.8102207679264952;
F1_SCORE weighted;0.8372607821643351;
