SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5
2;227;0.5
3;218;0.5
4;213;0.5
5;207;0.5
6;200;0.5
7;200;0.5
8;198;0.5
9;198;0.5
10;198;0.5
11;195;0.5
12;195;0.5
13;194;0.5
14;192;0.5
15;192;0.5
16;192;0.5
17;192;0.5
18;192;0.5
19;191;0.5
20;191;0.5
21;191;0.5
22;190;0.5
23;190;0.5
24;189;0.5
25;189;0.5
26;189;0.5
27;185;0.5
28;184;0.5
29;182;0.5
30;182;0.5
31;178;0.5
32;175;0.5
33;172;0.5
34;170;0.5
35;168;0.5
36;165;0.5
37;160;0.5
38;159;0.5
39;157;0.5
40;157;0.5
ROC_AUC_SCORE weighted;0.5;
F1_SCORE weighted;0.03668670923674564;
