SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.6825492388406297
2;227;0.685021645021645
3;218;0.6977986552454637
4;213;0.708651642475172
5;207;0.7232767232767233
6;200;0.7387815436595925
7;200;0.7330799282018794
8;198;0.8515616614790168
9;198;0.9095202318342814
10;198;0.919394654931845
11;195;0.9199867928681488
12;195;0.9225181598062955
13;194;0.9331779331779332
14;192;0.9448729582577131
15;192;0.9448729582577131
16;192;0.9448729582577131
17;192;0.9449863883847549
18;192;0.9460072595281307
19;191;0.9455377574370709
20;191;0.9455377574370709
21;191;0.9456521739130435
22;190;0.9455216989843028
23;190;0.9455216989843028
24;189;0.9533333333333333
25;189;0.9533333333333333
26;189;0.9533333333333333
27;185;0.9530481809242871
28;184;0.9526289682539683
29;182;0.9551767676767677
30;182;0.9551767676767677
31;178;0.9543943624518015
32;175;0.9532403609515997
33;172;0.9522584333905091
34;170;0.9523809523809523
35;168;0.9520786092214665
36;165;0.9508299404948324
37;160;0.9494949494949495
38;159;0.949648711943794
39;157;0.9579918032786886
40;157;0.9579918032786886
ROC_AUC_SCORE weighted;0.8960289160528984;
F1_SCORE weighted;0.9081287854434377;
