SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.8380172413793103
2;218;0.8505600582824879
3;203;0.8873009391588403
4;198;0.9226678012977343
5;191;0.9372739602169982
6;184;0.9444243520192888
7;183;0.9510710808179164
8;180;0.9540042611856122
9;180;0.9588920917408197
10;180;0.9591427497180098
11;178;0.9575501853982866
12;178;0.9587009333844776
13;178;0.9530750543408771
14;176;0.9496280829962156
15;176;0.9436252120579407
16;175;0.9410520750726936
17;175;0.9385408406026963
18;175;0.9370869680148031
19;172;0.9427083333333334
20;170;0.9481981981981982
21;165;0.9486714975845411
22;139;0.9583732057416269
23;118;0.9450800915331807
24;107;0.9328968903436989
25;102;0.8856382978723405
26;101;0.8617021276595744
27;96;0.8722222222222222
28;95;0.8857677902621723
29;93;0.859090909090909
30;92;0.8153409090909092
31;89;0.7970588235294118
ROC_AUC_SCORE weighted;0.922522756563194;
F1_SCORE weighted;0.7225756405375952;
