SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.5
2;218;0.5
3;203;0.5
4;198;0.5
5;191;0.5
6;184;0.5
7;183;0.5
8;180;0.5
9;180;0.5
10;180;0.5
11;178;0.5
12;178;0.5
13;178;0.5
14;176;0.5
15;176;0.5
16;175;0.5
17;175;0.5
18;175;0.5
19;172;0.5
20;170;0.5
21;165;0.5
22;139;0.5
23;118;0.5
24;107;0.5
25;102;0.5
26;101;0.5
27;96;0.5
28;95;0.5
29;93;0.5
30;92;0.5
31;89;0.5
ROC_AUC_SCORE weighted;0.5;
F1_SCORE weighted;0.01696105922954974;
