SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8525584027160293
2;227;0.8549096238397655
3;218;0.8507098684783555
4;213;0.8529358463211307
5;207;0.8471719672443344
6;200;0.8396598846037049
7;200;0.8396598846037049
8;198;0.8376456035460262
9;198;0.8376456035460262
10;198;0.8376456035460262
11;195;0.8348526605893576
12;195;0.8348526605893576
13;194;0.8338148742643126
14;192;0.8311334133304243
15;192;0.8311334133304243
16;192;0.8311334133304243
17;192;0.8311334133304243
18;191;0.8399161518093557
19;190;0.8387923351158645
20;190;0.8387923351158645
21;190;0.8387923351158645
22;189;0.8376462646264626
23;189;0.8376462646264626
24;188;0.8364772727272728
25;188;0.8364772727272728
26;188;0.8364772727272728
27;184;0.8303740530303031
28;183;0.8285885167464115
29;180;0.8350018539117537
30;180;0.8350018539117537
31;175;0.8394303632087797
32;172;0.8362628447809626
33;169;0.8313253012048193
34;166;0.831517792302106
35;163;0.8369499698613623
36;160;0.8312969924812029
37;156;0.8225859788359788
38;155;0.8202548625083836
39;153;0.817287784679089
40;153;0.817287784679089
ROC_AUC_SCORE weighted;0.836502213793873;
F1_SCORE weighted;0.7502260188953854;
