SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Treatment code
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5
2;227;0.5
3;218;0.5
4;213;0.5
5;207;0.5
6;200;0.5
7;200;0.5
8;198;0.5
9;198;0.5
10;198;0.5
11;195;0.5
12;195;0.5
13;194;0.5
14;192;0.5
15;192;0.5
16;192;0.5
17;192;0.5
18;191;0.5
19;190;0.5
20;190;0.5
21;190;0.5
22;189;0.5
23;189;0.5
24;188;0.5
25;188;0.5
26;188;0.5
27;184;0.5
28;183;0.5
29;180;0.5
30;180;0.5
31;175;0.5
32;172;0.5
33;169;0.5
34;166;0.5
35;163;0.5
36;160;0.5
37;156;0.5
38;155;0.5
39;153;0.5
40;153;0.5
ROC_AUC_SCORE weighted;0.5;
F1_SCORE weighted;0.11448161688411251;
