SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5536751630112626
2;937;0.5536751630112626
3;937;0.5536751630112626
4;937;0.5536751630112626
5;937;0.5536751630112626
6;937;0.5536751630112626
7;937;0.5536751630112626
8;937;0.5536751630112626
9;937;0.5536751630112626
10;937;0.5536751630112626
11;937;0.5536751630112626
12;937;0.5536751630112626
13;937;0.5536751630112626
14;937;0.5766814098764306
15;937;0.5766814098764306
16;937;0.6180725913091059
17;916;0.624956976499608
18;915;0.6459181815568312
19;897;0.6415412688096787
20;895;0.6602232425426744
21;872;0.672350781998085
22;864;0.6814157850144469
23;830;0.6908555061073762
24;814;0.696978144513827
25;770;0.7026966292134833
26;752;0.7028409090909092
27;706;0.7025345222256195
28;686;0.7014511046578342
29;642;0.7171559957552176
30;618;0.7163305536175066
31;582;0.7295424836601306
32;547;0.7387358301047495
33;509;0.7278455489464664
34;483;0.7392762660619803
35;452;0.740673755774427
36;424;0.7379825012866701
37;399;0.7374411302982733
38;382;0.7316107786327222
39;353;0.7379818594104307
40;337;0.7413969772009221
ROC_AUC_SCORE weighted;0.6295546393980288;
F1_SCORE weighted;0.37058351822258573;
