SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4987323879440062
2;937;0.4987323879440062
3;937;0.4987323879440062
4;937;0.4987323879440062
5;937;0.4987323879440062
6;937;0.4987323879440062
7;937;0.4987323879440062
8;937;0.4987323879440062
9;937;0.4987323879440062
10;937;0.4987323879440062
11;937;0.4987323879440062
12;937;0.4987323879440062
13;937;0.4987323879440062
14;937;0.5226095481282202
15;937;0.5226095481282202
16;937;0.5784072773699328
17;916;0.5882866129988336
18;915;0.6237530305789004
19;897;0.6262960555916612
20;895;0.6494328514161133
21;872;0.6665549526545378
22;864;0.6780729291129891
23;830;0.6940630622100179
24;814;0.6998246853008228
25;770;0.7025375972342264
26;752;0.7069238053613054
27;706;0.7044352072986308
28;686;0.7074488273768018
29;642;0.7262115316590025
30;618;0.7265136161777247
31;582;0.7301774042950515
32;547;0.7366336633663366
33;509;0.7352219645797629
34;483;0.7425547996976568
35;452;0.7483875185217467
36;424;0.7485074626865672
37;399;0.7526745741031455
38;382;0.7490104809854026
39;353;0.7602796674225245
40;337;0.7568952267099309
ROC_AUC_SCORE weighted;0.6024930948605136;
F1_SCORE weighted;0.37515477821515586;
