SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.4970088003283024
2;937;0.4970088003283024
3;937;0.4970088003283024
4;937;0.4970088003283024
5;937;0.4970088003283024
6;937;0.4970088003283024
7;937;0.4970088003283024
8;937;0.4970088003283024
9;937;0.4970088003283024
10;937;0.4970088003283024
11;937;0.4970088003283024
12;937;0.4970088003283024
13;937;0.4970088003283024
14;937;0.521385253750399
15;937;0.521385253750399
16;937;0.5741667046646299
17;916;0.583838461097195
18;915;0.6163526683468611
19;897;0.6222966555016747
20;895;0.64337958265098
21;872;0.6578093414192999
22;864;0.6646091764245835
23;830;0.6742022535744722
24;814;0.6800816483298643
25;770;0.6842731201382888
26;752;0.680827505827506
27;706;0.6809576147228719
28;686;0.6790799078495581
29;642;0.7012380615493456
30;618;0.7144257284295159
31;582;0.7271459694989107
32;547;0.7382407805997991
33;509;0.7272826561817387
34;483;0.734145880574452
35;452;0.7377865423167437
36;424;0.7298636129696346
37;399;0.7344322344322344
38;382;0.7295684113865932
39;353;0.7420634920634921
40;337;0.7444710101613867
ROC_AUC_SCORE weighted;0.5946867563747616;
F1_SCORE weighted;0.37036709404669715;
