SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.525103734439834
2;937;0.525103734439834
3;937;0.525103734439834
4;937;0.525103734439834
5;937;0.525103734439834
6;937;0.525103734439834
7;937;0.525103734439834
8;937;0.525103734439834
9;937;0.525103734439834
10;937;0.525103734439834
11;937;0.525103734439834
12;937;0.525103734439834
13;937;0.525103734439834
14;937;0.5481145410605991
15;937;0.5439697232228352
16;937;0.5897337102731294
17;916;0.5864294318985792
18;915;0.6055456000306652
19;897;0.5989426586012098
20;895;0.6172626164186752
21;872;0.6194382381104373
22;864;0.6310095370511177
23;830;0.6340308682889878
24;814;0.6305413073644563
25;770;0.6199896283491789
26;752;0.6233173076923076
27;706;0.6273004487269542
28;686;0.6175800799696362
29;642;0.6427965031077871
30;618;0.6348328294406238
31;582;0.6473576097105509
32;547;0.626273496914909
33;509;0.6352706926101421
34;483;0.6347694633408919
35;452;0.6321907957813998
36;424;0.6354606278950077
37;399;0.625966625966626
38;382;0.6262626262626262
39;353;0.6281557067271353
40;337;0.6201434548714884
ROC_AUC_SCORE weighted;0.5783789078936228;
F1_SCORE weighted;0.03798127965749857;
