SELECTED COLUMNS;
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
AMOUNT_REQ
Activity_W_Valideren aanvraag-COMPLETE
Activity_A_CANCELLED-COMPLETE
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5470268961037531
2;937;0.5470268961037531
3;937;0.5470268961037531
4;937;0.5470268961037531
5;937;0.5470268961037531
6;937;0.5470268961037531
7;937;0.5470268961037531
8;937;0.5470268961037531
9;937;0.5470268961037531
10;937;0.5470268961037531
11;937;0.5470268961037531
12;937;0.5470268961037531
13;937;0.5470268961037531
14;937;0.6083991148396473
15;937;0.6108074335854499
16;937;0.6817496229260935
17;916;0.6696243785236815
18;915;0.7133670873983498
19;897;0.706389907433524
20;895;0.7509309903409752
21;872;0.7596014300378748
22;864;0.7849101831631115
23;830;0.7885652467443732
24;814;0.8052126864030265
25;770;0.8220962813265773
26;752;0.8293978564063037
27;706;0.8381354916067146
28;686;0.8322175897307748
29;642;0.8425255075364875
30;618;0.8457412985274432
31;582;0.846746113024858
32;547;0.8279869675500744
33;509;0.8244809023327352
34;483;0.8298209091427593
35;452;0.8195684523809524
36;424;0.7827515819555011
37;399;0.795652760294911
38;382;0.8049017228827955
39;353;0.785944886429148
40;337;0.7547648430001371
ROC_AUC_SCORE weighted;0.678101590610942;
F1_SCORE weighted;0.16384185755650416;
