SELECTED COLUMNS;
AMOUNT_REQ
Activity_A_PARTLYSUBMITTED-COMPLETE
Activity_A_PREACCEPTED-COMPLETE
Activity_A_DECLINED-COMPLETE
Activity_W_Completeren aanvraag-SCHEDULE
mean_open_cases
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5569038849425589
2;937;0.5569038849425589
3;937;0.5544191587009266
4;937;0.5599732526528107
5;937;0.5573935221725277
6;937;0.5495447104563127
7;937;0.5467493934344763
8;937;0.5453937560291151
9;937;0.5442500511561285
10;937;0.5418237890613582
11;937;0.5417470548686019
12;937;0.5405777719313631
13;937;0.5396277295448566
14;937;0.544377941477389
15;937;0.5476738577567307
16;937;0.5483863895466106
17;916;0.547493961352657
18;915;0.5562773998488284
19;897;0.5526796968612377
20;895;0.5901891326737616
21;872;0.5874892395982783
22;864;0.6126518764254614
23;830;0.5947231715652768
24;814;0.5969579599106613
25;770;0.5825550261426885
26;752;0.6097810722672989
27;706;0.628103690270653
28;686;0.6369803237067597
29;642;0.6427417866371354
30;618;0.662640530904004
31;582;0.6773016178736517
32;547;0.6825847763347763
33;509;0.6658793996976895
34;483;0.6561599197894473
35;452;0.6205123410620794
36;424;0.6168630812084851
37;399;0.58703888334995
38;382;0.5838080631025416
39;353;0.5665279269602578
40;337;0.5658840792369773
ROC_AUC_SCORE weighted;0.5777840207444749;
F1_SCORE weighted;0.12674096887900768;
