SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.4754196642685852
2;157;0.4848121502797762
3;157;0.4852118305355716
4;157;0.47721822541966424
5;157;0.4880095923261391
6;157;0.4848121502797762
7;157;0.4968025579536371
8;157;0.4948041566746602
9;154;0.48774509803921573
10;152;0.4885986733001658
11;141;0.48550000000000004
12;129;0.5124223602484472
13;109;0.5161616161616162
14;90;0.5228658536585366
15;78;0.5392857142857143
16;60;0.4382716049382716
17;49;0.45
18;38;0.5277777777777778
19;36;0.5147058823529411
20;32;0.5166666666666666
21;28;0.46153846153846156
22;24;0.45454545454545453
23;21;0.5
24;19;0.47058823529411764
25;17;0.5
26;16;0.5357142857142857
27;16;0.5
28;15;0.46153846153846156
29;13;0.45454545454545453
ROC_AUC_SCORE weighted;0.4910695049049195;
F1_SCORE weighted;0.0;
