SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6915824915824915
2;157;0.6888888888888889
3;157;0.6888888888888888
4;157;0.6885521885521886
5;156;0.7245149911816577
6;155;0.7137037037037038
7;154;0.7052631578947368
8;154;0.7118908382066278
9;143;0.6799336650082919
10;135;0.7523076923076923
11;124;0.6639118457300276
12;113;0.6272727272727272
13;97;0.5602836879432624
ROC_AUC_SCORE weighted;0.6892032497745244;
F1_SCORE weighted;0.23326859907783726;
