SELECTED COLUMNS;
Diagnose
mean_open_cases
mean_hour
DisfuncOrg
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.6924242424242425
2;157;0.6873737373737373
3;157;0.6696969696969697
4;157;0.6656565656565656
5;156;0.6490299823633158
6;155;0.6475925925925926
7;154;0.631384015594542
8;154;0.6354775828460039
9;143;0.6525704809286899
10;135;0.5038461538461538
11;124;0.5344352617079889
12;113;0.5242424242424242
13;97;0.5141843971631206
ROC_AUC_SCORE weighted;0.6238424236671337;
F1_SCORE weighted;0.08355322235435433;
