SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
org:group_E
std_CRP
DiagnosticECG
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.737468671679198
2;157;0.7725563909774436
3;157;0.7431077694235589
4;157;0.7609649122807017
5;157;0.7637844611528822
6;157;0.7609649122807017
7;157;0.7587719298245614
8;154;0.7621794871794871
9;152;0.7591145833333334
10;142;0.7630649717514124
11;129;0.743642329778507
12;109;0.7214357937310414
13;93;0.7652173913043478
14;82;0.7431693989071039
15;61;0.6925133689839572
16;51;0.7089285714285715
17;40;0.739010989010989
18;38;0.7969230769230768
19;35;0.7840909090909092
20;28;0.70625
21;25;0.7279411764705882
22;21;0.7040816326530612
ROC_AUC_SCORE weighted;0.7516416817029891;
F1_SCORE weighted;0.8982463870621272;
