SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.5859312549960032
2;157;0.6386890487609912
3;157;0.6207034372501999
4;157;0.6250999200639489
5;157;0.623101518784972
6;157;0.6191047162270183
7;157;0.6542765787370103
8;157;0.6410871302957634
9;154;0.6343954248366013
10;152;0.6305970149253731
11;141;0.63
12;129;0.639751552795031
13;109;0.697979797979798
14;90;0.760670731707317
15;78;0.775
16;60;0.7067901234567902
17;49;0.6636363636363637
18;38;0.36111111111111116
19;36;0.36764705882352944
20;32;0.35
21;28;0.34615384615384615
22;24;0.34090909090909094
23;21;0.368421052631579
24;19;0.4117647058823529
25;17;0.3666666666666667
26;16;0.3571428571428571
27;16;0.3928571428571429
28;15;0.34615384615384615
29;13;0.27272727272727276
ROC_AUC_SCORE weighted;0.6135737867502663;
F1_SCORE weighted;0.0;
