SELECTED COLUMNS;
Diagnose
mean_open_cases
Age
std_Leucocytes
std_CRP
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;157;0.46163069544364504
2;157;0.45403677058353314
3;157;0.4612310151878497
4;157;0.48021582733812956
5;157;0.5135891286970424
6;157;0.5107913669064748
7;157;0.5419664268585132
8;157;0.5523581135091927
9;154;0.5690359477124183
10;152;0.5766998341625207
11;141;0.5389999999999999
12;129;0.5086956521739131
13;109;0.5818181818181818
14;90;0.5990853658536585
15;78;0.6089285714285715
16;60;0.49691358024691357
17;49;0.4727272727272728
18;38;0.4305555555555555
19;36;0.4264705882352941
20;32;0.4
21;28;0.38461538461538464
22;24;0.5
23;21;0.5263157894736843
24;19;0.5294117647058824
25;17;0.4666666666666667
26;16;0.4285714285714286
27;16;0.4642857142857143
28;15;0.4230769230769231
29;13;0.4090909090909091
ROC_AUC_SCORE weighted;0.5139202378277672;
F1_SCORE weighted;0.0868440888391487;
