SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.1296738879037854
2;225;0.12787105971804213
3;216;0.12411043470805105
4;211;0.11812544931703811
5;205;0.13174709135990842
6;199;0.12073344169036974
7;198;0.12489745693191139
8;196;0.14386792452830188
9;195;0.13724867724867723
10;195;0.1443915343915344
11;193;0.11893939393939393
12;193;0.12505411255411253
13;192;0.12550629447181172
14;191;0.11035437430786267
15;191;0.10581395348837208
16;191;0.13095238095238093
17;190;0.11644677996422186
18;190;0.13282647584973162
19;189;0.10378959276018099
20;187;0.11424452133794696
21;185;0.09947058823529413
22;179;0.10350877192982458
23;176;0.12590579710144928
24;173;0.10052166934189405
25;155;0.13145539906103287
26;134;0.13702380952380952
27;112;0.12463647694225177
28;106;0.10492886178861789
29;97;0.1369598765432099
30;92;0.11952861952861955
31;90;0.11312500000000003
32;86;0.15151515151515155
33;86;0.06637806637806638
34;83;0.24436090225563908
35;81;0.1513157894736842
36;79;0.14054054054054052
ROC_AUC_SCORE weighted;0.12428629146307475;
F1_SCORE weighted;0.0;
