SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8943026751985198
2;225;0.9007603358149849
3;216;0.9031124067564091
4;211;0.8988138030194104
5;205;0.9019645241274079
6;199;0.8956724908573751
7;198;0.8978671041837573
8;196;0.9374213836477987
9;195;0.9659259259259259
10;195;0.9708994708994708
11;193;0.9753246753246753
12;193;0.9769480519480519
13;192;0.9811713191023536
14;191;0.9846068660022147
15;191;0.9846068660022147
16;191;0.9871539313399779
17;190;0.987030411449016
18;190;0.9903846153846154
19;189;0.9911764705882353
20;187;0.9910034602076125
21;185;0.9908235294117647
22;179;0.9909774436090225
23;176;0.9906832298136645
24;173;0.9954521134296416
25;155;0.9942991281019451
26;134;0.9952380952380953
27;112;0.9929372663066058
28;106;0.9928861788617886
29;97;0.9915123456790124
30;92;0.9876543209876544
31;90;0.9875
32;86;0.9898989898989898
33;86;0.9898989898989898
34;83;0.986842105263158
35;81;0.9815789473684211
36;79;0.981081081081081
ROC_AUC_SCORE weighted;0.9624929773449108;
F1_SCORE weighted;0.8667231492091989;
