SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8983116182252717
2;225;0.9011563440519562
3;216;0.9023407356597788
4;211;0.898274622573688
5;205;0.9013923326339882
6;199;0.89496139780577
7;198;0.8972518457752257
8;196;0.9346960167714884
9;195;0.9651851851851851
10;195;0.9700529100529101
11;193;0.9747835497835498
12;193;0.9762987012987012
13;192;0.9809523809523809
14;191;0.9844961240310077
15;191;0.9844961240310077
16;191;0.9870431893687708
17;190;0.9869186046511627
18;190;0.990272808586762
19;189;0.9911764705882353
20;187;0.9910034602076125
21;185;0.9908235294117648
22;179;0.9909774436090225
23;176;0.9906832298136645
24;173;0.9957196361690743
25;155;0.994634473507713
26;134;0.9947619047619047
27;112;0.9921063564603241
28;106;0.991869918699187
29;97;0.9915123456790124
30;92;0.9876543209876544
31;90;0.9875
32;86;0.9898989898989898
33;86;0.9898989898989898
34;83;0.986842105263158
35;81;0.9815789473684211
36;79;0.981081081081081
ROC_AUC_SCORE weighted;0.9623154080432726;
F1_SCORE weighted;0.0035089434253978316;
