SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9247552231901935
2;225;0.9303817519404404
3;216;0.9260053159564434
4;211;0.9234363767074047
5;205;0.9198931909212282
6;199;0.9156846810239742
7;198;0.9237079573420837
8;196;0.9227463312368973
9;195;0.9315343915343917
10;195;0.9315343915343917
11;193;0.9403679653679654
12;193;0.9403679653679654
13;192;0.9420908593322386
14;191;0.9483942414174973
15;191;0.9483942414174973
16;191;0.9483942414174973
17;190;0.9485688729874777
18;190;0.948680679785331
19;189;0.9562217194570136
20;187;0.9562860438292964
21;185;0.9562352941176471
22;179;0.9624060150375939
23;176;0.9631211180124224
24;173;0.9632156233279828
25;155;0.9589201877934272
26;134;0.9495238095238094
27;112;0.9414208558371416
28;106;0.943089430894309
29;97;0.9282407407407408
30;92;0.9001122334455669
31;90;0.905
32;86;0.9321789321789322
33;86;0.9321789321789322
34;83;0.9304511278195489
35;81;0.918421052631579
36;79;0.9324324324324325
ROC_AUC_SCORE weighted;0.9384829596399165;
F1_SCORE weighted;0.0051717504970031445;
