SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.10546603962685992
2;225;0.10367495643909394
3;216;0.11103489668181425
4;211;0.11529475197699497
5;205;0.12111386610719052
6;199;0.1278951645672491
7;198;0.12223133716160789
8;196;0.12431865828092242
9;195;0.11640211640211641
10;195;0.1161904761904762
11;193;0.1093073593073593
12;193;0.1093073593073593
13;192;0.10607553366174056
14;191;0.10000000000000002
15;191;0.10000000000000002
16;191;0.10000000000000002
17;190;0.09917262969588551
18;190;0.09917262969588551
19;189;0.09377828054298643
20;187;0.09227220299884661
21;185;0.0923529411764706
22;179;0.08558897243107769
23;176;0.08268633540372669
24;173;0.08212948100588549
25;155;0.08618376928236082
26;134;0.08357142857142857
27;112;0.08641462401329458
28;106;0.0818089430894309
29;97;0.08487654320987657
30;92;0.10101010101010104
31;90;0.09625000000000003
32;86;0.07070707070707072
33;86;0.07070707070707072
34;83;0.07518796992481203
35;81;0.10263157894736841
36;79;0.07837837837837838
ROC_AUC_SCORE weighted;0.10113444863875554;
F1_SCORE weighted;0.8333523316398996;
