SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8187495181558861
2;225;0.8172817994614288
3;216;0.8179713624281917
4;211;0.8189252336448598
5;205;0.8166126263589547
6;199;0.808512799674929
7;198;0.8165504511894996
8;196;0.8550314465408804
9;195;0.9078306878306879
10;195;0.9122751322751323
11;193;0.9156926406926408
12;193;0.9166666666666667
13;192;0.9234811165845649
14;191;0.9294573643410853
15;191;0.9294573643410853
16;191;0.9315614617940199
17;190;0.9317978533094812
18;190;0.9344812164579606
19;189;0.9377828054298643
20;187;0.9392156862745098
21;185;0.939529411764706
22;179;0.9441102756892231
23;176;0.9452639751552796
24;173;0.9493044408774747
25;155;0.9455063715627097
26;134;0.9480952380952381
27;112;0.9547154133776485
28;106;0.9613821138211383
29;97;0.9660493827160495
30;92;0.9607182940516275
31;90;0.9625
32;86;0.9725829725829727
33;86;0.9725829725829727
34;83;0.9680451127819548
35;81;0.9552631578947368
36;79;0.9594594594594594
ROC_AUC_SCORE weighted;0.9049558374957304;
F1_SCORE weighted;0.014313631002372726;
