SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.8532110091743119
2;225;0.8626643434183431
3;216;0.8565549172597102
4;211;0.8505571531272466
5;205;0.8456990272744611
6;199;0.8359406745225517
7;198;0.8437243642329779
8;196;0.90041928721174
9;195;0.9388359788359788
10;195;0.9414814814814816
11;193;0.9433982683982683
12;193;0.944047619047619
13;192;0.9469074986316366
14;191;0.9491694352159468
15;191;0.9491694352159468
16;191;0.9499446290143965
17;190;0.9516994633273702
18;190;0.9531529516994632
19;189;0.9539592760180995
20;187;0.9536332179930795
21;185;0.9528235294117647
22;179;0.9553884711779449
23;176;0.9583333333333333
24;173;0.9624130551096843
25;155;0.9562374245472838
26;134;0.9635714285714285
27;112;0.9700872455338596
28;106;0.9664634146341463
29;97;0.9714506172839505
30;92;0.9584736251402918
31;90;0.9575
32;86;0.9624819624819625
33;86;0.9624819624819625
34;83;0.9548872180451128
35;81;0.9368421052631579
36;79;0.9459459459459458
ROC_AUC_SCORE weighted;0.9252122892590631;
F1_SCORE weighted;0.0;
