SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.40999151954359736
2;225;0.41707587517820366
3;216;0.3977964503129554
4;211;0.4327372393961179
5;205;0.4287621590692352
6;199;0.42883990247866716
7;198;0.4003794093519278
8;196;0.43563941299790354
9;195;0.48402116402116396
10;195;0.5013227513227513
11;193;0.5016774891774891
12;193;0.4709415584415584
13;192;0.48456486042692937
14;191;0.5060354374307863
15;191;0.4761351052048726
16;191;0.48006644518272423
17;190;0.4798747763864043
18;190;0.49016100178890876
19;189;0.491685520361991
20;187;0.4749134948096886
21;185;0.49576470588235294
22;179;0.5005639097744361
23;176;0.488871635610766
24;173;0.49511771000535043
25;155;0.5098088531187122
26;134;0.5020238095238095
27;112;0.5324054840049854
28;106;0.5233739837398375
29;97;0.43672839506172834
30;92;0.3389450056116723
31;90;0.45187499999999997
32;86;0.4545454545454546
33;86;0.6089466089466089
34;83;0.5
35;81;0.7394736842105263
36;79;0.6081081081081081
ROC_AUC_SCORE weighted;0.47379833167463353;
F1_SCORE weighted;0.0;
