SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.08858222187957751
2;225;0.08609219071756692
3;216;0.08274028980536738
4;211;0.08626887131560029
5;205;0.08220484455464427
6;199;0.08766761479073545
7;198;0.08695652173913045
8;196;0.05796645702306079
9;195;0.031746031746031744
10;195;0.026984126984126982
11;193;0.022294372294372294
12;193;0.020562770562770567
13;192;0.016748768472906406
14;191;0.012846068660022148
15;191;0.012846068660022148
16;191;0.010299003322259137
17;190;0.01039803220035778
18;190;0.0073792486583184255
19;189;0.006674208144796383
20;187;0.00680507497116494
21;185;0.006941176470588239
22;179;0.006516290726817041
23;176;0.0067287784679089
24;173;0.0030765115034777947
25;155;0.0038564721663313204
26;134;0.004761904761904761
27;112;0.007062733693394263
28;106;0.0071138211382113835
29;97;0.008487654320987657
30;92;0.012345679012345684
31;90;0.0125
32;86;0.010101010101010104
33;86;0.010101010101010104
34;83;0.013157894736842098
35;81;0.01842105263157894
36;79;0.018918918918918927
ROC_AUC_SCORE weighted;0.03227926415032082;
F1_SCORE weighted;0.9109387216882568;
