SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9111864929458021
2;225;0.9136702043402503
3;216;0.9158021092343308
4;211;0.9122034507548527
5;205;0.9160785809650963
6;199;0.9106054449410808
7;198;0.9113002461033634
8;196;0.9409853249475891
9;195;0.9674074074074074
10;195;0.9721693121693122
11;193;0.9768398268398268
12;193;0.9784632034632035
13;192;0.9825944170771757
14;191;0.9866002214839424
15;191;0.9868217054263566
16;191;0.9894795127353266
17;190;0.9893783542039356
18;190;0.9925089445438283
19;189;0.9932126696832579
20;187;0.9930795847750865
21;185;0.9929411764705882
22;179;0.993358395989975
23;176;0.9931418219461698
24;173;0.997191011235955
25;155;0.9964788732394366
26;134;0.9957142857142858
27;112;0.9937681761528874
28;106;0.9933943089430894
29;97;0.9922839506172839
30;92;0.9887766554433222
31;90;0.98875
32;86;0.9913419913419913
33;86;0.9913419913419913
34;83;0.9887218045112782
35;81;0.9842105263157894
36;79;0.9837837837837837
ROC_AUC_SCORE weighted;0.9674226226236337;
F1_SCORE weighted;0.0035787436793559375;
