SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9178937630097912
2;225;0.9194519246000317
3;216;0.9140872845751522
4;211;0.9110352264557872
5;205;0.9066374213236696
6;199;0.9015644047135312
7;198;0.9095570139458572
8;196;0.9078616352201259
9;195;0.9164021164021164
10;195;0.9164021164021164
11;193;0.9356060606060606
12;193;0.9356060606060606
13;192;0.9448275862068966
14;191;0.9548172757475083
15;191;0.9548172757475083
16;191;0.9548172757475083
17;190;0.9546064400715564
18;190;0.9546064400715564
19;189;0.9648190045248869
20;187;0.9641291810841984
21;185;0.9634117647058824
22;179;0.9719298245614034
23;176;0.9710144927536232
24;173;0.9700374531835205
25;155;0.9624413145539905
26;134;0.9466666666666667
27;112;0.9268799335272123
28;106;0.9258130081300813
29;97;0.9120370370370371
30;92;0.8945005611672279
31;90;0.90375
32;86;0.9292929292929294
33;86;0.9292929292929294
34;83;0.9323308270676692
35;81;0.9315789473684211
36;79;0.9378378378378378
ROC_AUC_SCORE weighted;0.9355327636348917;
F1_SCORE weighted;0.0;
