SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.47829774111479456
2;225;0.48170441945192455
3;216;0.4533138986538626
4;211;0.43237778576563624
5;205;0.41517261110051495
6;199;0.3939963429500203
7;198;0.3905352748154225
8;196;0.20235849056603775
9;195;0.13243386243386243
10;195;0.12492063492063493
11;193;0.0943722943722944
12;193;0.0917748917748918
13;192;0.08697318007662838
14;191;0.08228128460686601
15;191;0.08228128460686601
16;191;0.07569213732004432
17;190;0.07574910554561719
18;190;0.07289803220035779
19;189;0.06934389140271491
20;187;0.07024221453287194
21;185;0.07082352941176469
22;179;0.07211779448621551
23;176;0.07278726708074532
24;173;0.05972445157838413
25;155;0.06078135479543927
26;134;0.0564285714285714
27;112;0.05068550062318236
28;106;0.05182926829268297
29;97;0.04243827160493827
30;92;0.03928170594837262
31;90;0.038750000000000034
32;86;0.038961038961038974
33;86;0.038961038961038974
34;83;0.03571428571428575
35;81;0.028947368421052656
36;79;0.029729729729729735
ROC_AUC_SCORE weighted;0.1686455294782952;
F1_SCORE weighted;0.0;
