SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.07593863233366742
2;225;0.07460795184539837
3;216;0.06833576266826713
4;211;0.06811646297627605
5;205;0.06275033377837116
6;199;0.06633482324258431
7;198;0.06552502050861361
8;196;0.04119496855345911
9;195;0.02592592592592592
10;195;0.022645502645502642
11;193;0.017640692640692637
12;193;0.016450216450216448
13;192;0.013683634373289549
14;191;0.010077519379844961
15;191;0.010077519379844961
16;191;0.007530454042081948
17;190;0.007602862254025043
18;190;0.005143112701252235
19;189;0.004411764705882355
20;187;0.004498269896193773
21;185;0.004588235294117648
22;179;0.00401002506265664
23;176;0.0041407867494824
24;173;0.0013376136971642578
25;155;0.0016767270288397037
26;134;0.0021428571428571417
27;112;0.0033236393851267167
28;106;0.003556910569105694
29;97;0.0030864197530864196
30;92;0.0044893378226711555
31;90;0.0050000000000000044
32;86;0.005772005772005774
33;86;0.005772005772005774
34;83;0.00751879699248121
35;81;0.010526315789473696
36;79;0.010810810810810811
ROC_AUC_SCORE weighted;0.02491398539719084;
F1_SCORE weighted;0.9236178263771356;
