SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.9241770102536427
2;225;0.9255900522730872
3;216;0.9302066363714311
4;211;0.9296369518332135
5;205;0.9346748045012397
6;199;0.9309223892726534
7;198;0.9316037735849056
8;196;0.9573375262054508
9;195;0.9741798941798941
10;195;0.976931216931217
11;193;0.982034632034632
12;193;0.9836580086580087
13;192;0.9859879584017515
14;191;0.9894795127353266
15;191;0.9894795127353266
16;191;0.9919158361018826
17;190;0.9918381037567083
18;190;0.9940742397137746
19;189;0.9949095022624435
20;187;0.9948096885813149
21;185;0.9947058823529411
22;179;0.9953634085213032
23;176;0.9952122153209109
24;173;0.9979935794542536
25;155;0.9974849094567405
26;134;0.9964285714285714
27;112;0.9941836310760284
28;106;0.994410569105691
29;97;0.9938271604938271
30;92;0.9910213243546577
31;90;0.99125
32;86;0.9942279942279942
33;86;0.9942279942279942
34;83;0.9924812030075189
35;81;0.9894736842105264
36;79;0.9891891891891892
ROC_AUC_SCORE weighted;0.9740773049091396;
F1_SCORE weighted;0.0034728784706393855;
