SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.889214401356873
2;225;0.8927609694281641
3;216;0.8906799279773643
4;211;0.8858734723220705
5;205;0.8856570665649438
6;199;0.8781999187322227
7;198;0.8815627563576702
8;196;0.8983228511530398
9;195;0.9096296296296296
10;195;0.9101587301587302
11;193;0.9084415584415585
12;193;0.908982683982684
13;192;0.9085933223864258
14;191;0.9079734219269102
15;191;0.9079734219269102
16;191;0.9083056478405315
17;190;0.9091010733452594
18;190;0.9095483005366726
19;189;0.9087104072398191
20;187;0.9103806228373703
21;185;0.9118823529411765
22;179;0.9132832080200501
23;176;0.9140786749482402
24;173;0.9166666666666667
25;155;0.9206908115358821
26;134;0.9190476190476191
27;112;0.9243872039883672
28;106;0.9314024390243902
29;97;0.9236111111111112
30;92;0.9057239057239057
31;90;0.91125
32;86;0.9321789321789322
33;86;0.9307359307359309
34;83;0.9229323308270676
35;81;0.8973684210526316
36;79;0.9216216216216216
ROC_AUC_SCORE weighted;0.9058906459147131;
F1_SCORE weighted;0.0;
