SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.4685837637807416
2;225;0.4688341517503564
3;216;0.46664666037897623
4;211;0.46279654924514735
5;205;0.46228304405874504
6;199;0.4567757009345795
7;198;0.457239540607055
8;196;0.45581761006289306
9;195;0.458941798941799
10;195;0.4591005291005291
11;193;0.45784632034632045
12;193;0.45784632034632045
13;192;0.45681444991789827
14;191;0.45575858250276857
15;191;0.45575858250276857
16;191;0.45575858250276857
17;190;0.45628354203935606
18;190;0.45628354203935606
19;189;0.4552036199095023
20;187;0.4562860438292965
21;185;0.4574117647058824
22;179;0.4593358395989975
23;176;0.46130952380952384
24;173;0.4634162653825576
25;155;0.4797954393024816
26;134;0.5138095238095238
27;112;0.5006231823847113
28;106;0.5040650406504066
29;97;0.513888888888889
30;92;0.5622895622895624
31;90;0.5825
32;86;0.6103896103896103
33;86;0.6103896103896103
34;83;0.5874060150375939
35;81;0.5368421052631578
36;79;0.5432432432432432
ROC_AUC_SCORE weighted;0.47558677888818895;
F1_SCORE weighted;0.0;
