SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.4809960681520314
2;225;0.48487248534769517
3;216;0.49446969047414896
4;211;0.49712437095614664
5;205;0.5043868014495517
6;199;0.5031491263713938
7;198;0.499487284659557
8;196;0.4783018867924529
9;195;0.43846560846560845
10;195;0.4382539682539683
11;193;0.44215367965367963
12;193;0.44215367965367963
13;192;0.4419813902572523
14;191;0.44180509413067554
15;191;0.44180509413067554
16;191;0.44180509413067554
17;190;0.44141323792486586
18;190;0.44141323792486586
19;189;0.4412330316742082
20;187;0.4404267589388697
21;185;0.43958823529411767
22;179;0.43715538847117796
23;176;0.43568840579710144
24;173;0.42957463884430175
25;155;0.41624748490945673
26;134;0.38857142857142857
27;112;0.39800581636892396
28;106;0.3932926829268293
29;97;0.38425925925925924
30;92;0.345679012345679
31;90;0.32749999999999996
32;86;0.30014430014430016
33;86;0.30014430014430016
34;83;0.3167293233082707
35;81;0.35526315789473684
36;79;0.34864864864864864
ROC_AUC_SCORE weighted;0.4391201118972095;
F1_SCORE weighted;0.18216555832742456;
