SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.4752910338447305
2;225;0.475566291778869
3;216;0.47384892394752637
4;211;0.4703450754852624
5;205;0.46104329582300213
6;199;0.45545509955302727
7;198;0.45590648072190326
8;196;0.4556603773584905
9;195;0.45994708994709
10;195;0.46015873015873016
11;193;0.4589285714285715
12;193;0.4589285714285715
13;192;0.4579091406677614
14;191;0.4568660022148395
15;191;0.4568660022148395
16;191;0.4568660022148395
17;190;0.45740161001788915
18;190;0.45740161001788915
19;189;0.45633484162895926
20;187;0.457439446366782
21;185;0.4585882352941177
22;179;0.4605889724310777
23;176;0.4626035196687371
24;173;0.4647538790797219
25;155;0.48147216633132134
26;134;0.5161904761904762
27;112;0.5022850020772747
28;106;0.5050813008130082
29;97;0.5154320987654322
30;92;0.564534231200898
31;90;0.585
32;86;0.6132756132756132
33;86;0.6132756132756132
34;83;0.5892857142857142
35;81;0.5394736842105262
36;79;0.5432432432432432
ROC_AUC_SCORE weighted;0.4774751441136695;
F1_SCORE weighted;0.0;
