SELECTED COLUMNS;
Diagnosis Treatment Combination ID
mean_open_cases
Diagnosis
Activity code_376400.0
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.4676586230822604
2;225;0.4678837319816252
3;216;0.4655320243505101
4;211;0.4616283249460819
5;205;0.46104329582300213
6;199;0.45545509955302727
7;198;0.45590648072190326
8;196;0.4556603773584905
9;195;0.45994708994709
10;195;0.46015873015873016
11;193;0.45892857142857146
12;193;0.45892857142857146
13;192;0.45790914066776145
14;191;0.4568660022148395
15;191;0.4568660022148395
16;191;0.4568660022148395
17;190;0.4574016100178891
18;190;0.4574016100178891
19;189;0.4563348416289593
20;187;0.457439446366782
21;185;0.4585882352941177
22;179;0.4605889724310777
23;176;0.4626035196687371
24;173;0.4647538790797219
25;155;0.4814721663313213
26;134;0.5161904761904763
27;112;0.5022850020772747
28;106;0.5050813008130082
29;97;0.5154320987654322
30;92;0.564534231200898
31;90;0.585
32;86;0.6132756132756132
33;86;0.6132756132756132
34;83;0.5892857142857142
35;81;0.5394736842105262
36;79;0.5432432432432432
ROC_AUC_SCORE weighted;0.4762687507896849;
F1_SCORE weighted;0.0;
