SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.3865571514578137
2;227;0.38896103896103895
3;218;0.38629455650732253
4;213;0.3928571428571428
5;207;0.3895104895104895
6;200;0.3916165135677331
7;200;0.39108858621053744
8;198;0.4065149726306751
9;198;0.41113019212192764
10;198;0.4141891166684555
11;195;0.4489324235086947
12;195;0.44893242350869467
13;194;0.4513264513264514
14;192;0.45111161524500903
15;192;0.4507713248638838
16;192;0.450260889292196
17;192;0.4508280399274047
18;192;0.4507713248638838
19;191;0.4478260869565217
20;191;0.44816933638443934
21;191;0.4480549199084668
22;190;0.4473107109879963
23;190;0.4470221606648199
24;189;0.45175438596491224
25;189;0.4514035087719298
26;189;0.45146198830409356
27;185;0.45077433628318586
28;184;0.4521949404761905
29;182;0.4508838383838384
30;182;0.45157828282828283
31;178;0.4456189336524399
32;175;0.4449685534591195
33;172;0.4384648370497427
34;170;0.44175824175824174
35;168;0.4429327286470144
36;165;0.45122142186031944
37;160;0.460341116078821
38;159;0.4612746738039478
39;157;0.46320013661202186
40;157;0.46200478142076495
ROC_AUC_SCORE weighted;0.43513332584562764;
F1_SCORE weighted;0.0;
