SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.30669992259396234
2;227;0.30692640692640694
3;218;0.2783457677074699
4;213;0.27024446142093206
5;207;0.26173826173826176
6;200;0.23429416112342943
7;200;0.2349276739520642
8;198;0.14822367714929702
9;198;0.08940646130728777
10;198;0.08157132124074275
11;195;0.0828747523662778
12;195;0.07627118644067798
13;194;0.06970806970806973
14;192;0.056034482758620684
15;192;0.056034482758620684
16;192;0.05614791288566243
17;192;0.05626134301270417
18;192;0.055694192377495455
19;191;0.05594965675057207
20;191;0.05594965675057207
21;191;0.05594965675057207
22;190;0.0562096029547553
23;190;0.05632502308402585
24;189;0.041403508771929824
25;189;0.041403508771929824
26;189;0.041403508771929824
27;185;0.041052114060963624
28;184;0.041294642857142856
29;182;0.039141414141414144
30;182;0.039141414141414144
31;178;0.04055311793644463
32;175;0.041837571780147666
33;172;0.041738136077758725
34;170;0.041904761904761896
35;168;0.04142101284958428
36;165;0.041183839649232695
37;160;0.04239112435833747
38;159;0.042823686851789895
39;157;0.03927595628415301
40;157;0.03927595628415301
ROC_AUC_SCORE weighted;0.09838240405015682;
F1_SCORE weighted;0.8939449429542812;
