SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.3491012298959319
2;227;0.34995670995670997
3;218;0.36022842405821137
4;213;0.36545072574484333
5;207;0.37362637362637363
6;200;0.3778904022806462
7;200;0.38770985112448525
8;198;0.6868090587098852
9;198;0.8650853278952453
10;198;0.8925619834710744
11;195;0.890710983931323
12;195;0.9003962139555362
13;194;0.9140859140859141
14;192;0.9336433756805806
15;192;0.9336433756805806
16;192;0.9334165154264973
17;192;0.9333030852994555
18;192;0.9360254083484574
19;191;0.9355835240274599
20;191;0.9355835240274599
21;191;0.9355835240274599
22;190;0.9351338873499537
23;190;0.9351338873499537
24;189;0.9580116959064329
25;189;0.9580116959064329
26;189;0.9580116959064329
27;185;0.9566125860373648
28;184;0.9563492063492064
29;182;0.9625
30;182;0.9625
31;178;0.9611753756149448
32;175;0.9606234618539787
33;172;0.9589765580331618
34;170;0.9583882783882783
35;168;0.9570672713529856
36;165;0.9563106796116505
37;160;0.9539658883921179
38;159;0.953830712612914
39;157;0.9578210382513662
40;157;0.9576502732240437
ROC_AUC_SCORE weighted;0.819311826151796;
F1_SCORE weighted;0.019398687506329757;
