SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.6459963877182422
2;227;0.6468398268398267
3;218;0.6808510638297873
4;213;0.6982429335370511
5;207;0.7170829170829172
6;200;0.7509238728750923
7;200;0.7515573857037272
8;198;0.8430825372974132
9;198;0.9070516260598905
10;198;0.9197166469893743
11;195;0.9180057230904688
12;195;0.9235086946951353
13;194;0.9292929292929293
14;192;0.9440789473684211
15;192;0.9440789473684211
16;192;0.9437386569872959
17;192;0.9436252268602541
18;192;0.9444192377495463
19;191;0.9440503432494279
20;191;0.9440503432494279
21;191;0.9440503432494279
22;190;0.9437903970452447
23;190;0.9437903970452447
24;189;0.9583625730994151
25;189;0.9583625730994151
26;189;0.9583625730994151
27;185;0.9583333333333334
28;184;0.9582093253968255
29;182;0.9622474747474749
30;182;0.9622474747474749
31;178;0.9611753756149448
32;175;0.9600765654908395
33;172;0.9591194968553459
34;170;0.9586813186813187
35;168;0.9585789871504157
36;165;0.9580331976197934
37;160;0.9557873820168902
38;159;0.9553362328537973
39;157;0.9588456284153005
40;157;0.9586748633879781
ROC_AUC_SCORE weighted;0.8950712690332733;
F1_SCORE weighted;0.0;
