SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5798142255095898
2;227;0.5814285714285714
3;218;0.573547020355531
4;213;0.5652692895339954
5;207;0.5589410589410589
6;200;0.5432900432900433
7;200;0.5477774258262063
8;198;0.5736288504883545
9;198;0.5977245894601266
10;198;0.5978855854888913
11;195;0.62722870349989
12;195;0.6241470394012768
13;194;0.6249306249306249
14;192;0.6291969147005444
15;192;0.6251701451905626
16;192;0.6156420145190562
17;192;0.6303312159709619
18;192;0.6295939201451906
19;191;0.6306636155606407
20;191;0.6335240274599542
21;191;0.6335240274599542
22;190;0.6368882733148662
23;190;0.6375807940904894
24;189;0.632046783625731
25;189;0.6300584795321637
26;189;0.6310526315789473
27;185;0.6223574237954769
28;184;0.6286582341269842
29;182;0.6349747474747475
30;182;0.6402146464646464
31;178;0.6263794708150513
32;175;0.5993984140005468
33;172;0.6227844482561463
34;170;0.6203663003663004
35;168;0.6021919879062737
36;165;0.5985750078296274
37;160;0.5971187282662693
38;159;0.5591334894613584
39;157;0.5959699453551913
40;157;0.6458333333333334
ROC_AUC_SCORE weighted;0.6088356356201399;
F1_SCORE weighted;0.0;
