SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.41446632837361314
2;227;0.41428571428571426
3;218;0.40011052777010225
4;213;0.38999236058059594
5;207;0.38281718281718286
6;200;0.36775419702248974
7;200;0.36511456023651145
8;198;0.21315874208436192
9;198;0.1530535580122357
10;198;0.1512289363529033
11;195;0.1488003521901827
12;195;0.1437376183138895
13;194;0.14108114108114111
14;192;0.14190108892921957
15;192;0.14190108892921957
16;192;0.14224137931034483
17;192;0.14224137931034483
18;192;0.14167422867513613
19;191;0.14221967963386728
20;191;0.14221967963386728
21;191;0.14221967963386728
22;190;0.14265927977839338
23;190;0.14265927977839338
24;189;0.1278362573099415
25;189;0.1278362573099415
26;189;0.1278362573099415
27;185;0.12844149459193707
28;184;0.1294642857142857
29;182;0.12702020202020203
30;182;0.12702020202020203
31;178;0.13189735407525596
32;175;0.1327590921520372
33;172;0.13607775871926814
34;170;0.1374358974358974
35;168;0.1377173091458806
36;165;0.13232070153460695
37;160;0.13313462493790365
38;159;0.13298762127801944
39;157;0.13097677595628418
40;157;0.1311475409836066
ROC_AUC_SCORE weighted;0.18977923207350494;
F1_SCORE weighted;0.8372607821643351;
