SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.41412230153952007
2;227;0.4143722943722944
3;218;0.4200055263885051
4;213;0.42694805194805197
5;207;0.43896103896103894
6;200;0.44821032625910673
7;200;0.44641537324464153
8;198;0.7012987012987013
9;198;0.8106686701728025
10;198;0.8371793495760437
11;195;0.8367818622055909
12;195;0.8466872110939909
13;194;0.8616938616938618
14;192;0.862749546279492
15;192;0.8625226860254084
16;192;0.8621823956442832
17;192;0.8619555353901996
18;192;0.8632032667876589
19;191;0.8618993135011441
20;191;0.8618993135011441
21;191;0.8618993135011441
22;190;0.8611495844875346
23;190;0.8609187442289935
24;189;0.8867836257309941
25;189;0.8867836257309941
26;189;0.8867836257309941
27;185;0.8869223205506391
28;184;0.8857886904761906
29;182;0.8862373737373738
30;182;0.8862373737373738
31;178;0.8816646722510305
32;175;0.8789991796554552
33;172;0.8765008576329332
34;170;0.8747252747252748
35;168;0.8731670445956159
36;165;0.880363294707172
37;160;0.8756416625269083
38;159;0.8748745399799265
39;157;0.8739754098360656
40;157;0.8739754098360656
ROC_AUC_SCORE weighted;0.776501774874389;
F1_SCORE weighted;0.09369407603117239;
