SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.6195063214930764
2;227;0.6225974025974025
3;218;0.6541401860550796
4;213;0.6664438502673796
5;207;0.678921078921079
6;200;0.6967585260268188
7;200;0.710801393728223
8;198;0.804765482451433
9;198;0.8617580766341096
10;198;0.8689492325855962
11;195;0.8677085626238169
12;195;0.8705701078582434
13;194;0.8842268842268842
14;192;0.8950771324863884
15;192;0.8950771324863884
16;192;0.8954174228675136
17;192;0.8954174228675136
18;192;0.8955308529945554
19;191;0.8947368421052633
20;191;0.8947368421052633
21;191;0.8947368421052633
22;190;0.8941597414589104
23;190;0.894275161588181
24;189;0.9056140350877192
25;189;0.9056140350877192
26;189;0.9056140350877192
27;185;0.9051130776794494
28;184;0.9043898809523809
29;182;0.907449494949495
30;182;0.907449494949495
31;178;0.9053317378008244
32;175;0.9041564123598578
33;172;0.9042309891366495
34;170;0.905054945054945
35;168;0.9053665910808768
36;165;0.9057312871907298
37;160;0.913230667329028
38;159;0.9130143860823019
39;157;0.9125683060109289
40;157;0.9122267759562841
ROC_AUC_SCORE weighted;0.8481677454389632;
F1_SCORE weighted;0.03668670923674564;
