SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.6411800120409392
2;227;0.643896103896104
3;218;0.6384360320530533
4;213;0.645674178762414
5;207;0.6399100899100899
6;200;0.6237989652623799
7;200;0.607644388132193
8;198;0.6790275839862617
9;198;0.7458409359235806
10;198;0.7664484276054524
11;195;0.7572639225181598
12;195;0.7672243011226063
13;194;0.7695082695082696
14;192;0.7713815789473685
15;192;0.761002722323049
16;192;0.7660503629764065
17;192;0.7566923774954628
18;192;0.7602654264972776
19;191;0.7621853546910755
20;191;0.7652173913043478
21;191;0.7636155606407323
22;190;0.7742382271468145
23;190;0.7605609418282548
24;189;0.7715789473684211
25;189;0.7587719298245614
26;189;0.7583625730994152
27;185;0.7632743362831859
28;184;0.7495659722222222
29;182;0.7811237373737374
30;182;0.7816919191919192
31;178;0.7425874218853876
32;175;0.7713289581624282
33;172;0.7354202401372213
34;170;0.7805128205128204
35;168;0.7557823129251701
36;165;0.7691825869088632
37;160;0.7932604735883424
38;159;0.7664770826363332
39;157;0.8035348360655737
40;157;0.7906420765027322
ROC_AUC_SCORE weighted;0.7376322151922575;
F1_SCORE weighted;0.0;
