SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.2727272727272727
2;227;0.2697835497835498
3;218;0.2327530625402966
4;213;0.22593582887700533
5;207;0.21528471528471527
6;200;0.1799176433322775
7;200;0.18572484426142966
8;198;0.10969196093163036
9;198;0.07105291402812064
10;198;0.06514972630675112
11;195;0.0665859564164649
12;195;0.06295399515738499
13;194;0.057720057720057734
14;192;0.048661524500907445
15;192;0.048661524500907445
16;192;0.04888838475499093
17;192;0.04888838475499093
18;192;0.04843466424682396
19;191;0.04874141876430207
20;191;0.04874141876430207
21;191;0.04874141876430207
22;190;0.049053554939981536
23;190;0.049053554939981536
24;189;0.03976608187134502
25;189;0.03976608187134502
26;189;0.03976608187134502
27;185;0.04006882989183873
28;184;0.040550595238095226
29;182;0.0390151515151515
30;182;0.03914141414141413
31;178;0.04028719585161547
32;175;0.04142739950779326
33;172;0.0414522584333905
34;170;0.0416117216117216
35;168;0.04096749811035527
36;165;0.04087065455684309
37;160;0.04205994369928798
38;159;0.04248912679826029
39;157;0.039275956284153014
40;157;0.03910519125683061
ROC_AUC_SCORE weighted;0.08457793736243843;
F1_SCORE weighted;0.908967562555585;
