SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.505375419282704
2;227;0.5027705627705628
3;218;0.5125725338491296
4;213;0.514514896867838
5;207;0.5275224775224775
6;200;0.5453489599831064
7;200;0.5526343575124064
8;198;0.7654824514328646
9;198;0.8924546527852312
10;198;0.9151014274981216
11;195;0.914703940127669
12;195;0.9211974466211754
13;194;0.9351759351759351
14;192;0.9487295825771324
15;192;0.9487295825771324
16;192;0.9489564428312159
17;192;0.9489564428312159
18;192;0.9506578947368419
19;191;0.9504576659038901
20;191;0.9503432494279176
21;191;0.9503432494279176
22;190;0.9501385041551246
23;190;0.9501385041551246
24;189;0.9678362573099414
25;189;0.9678362573099414
26;189;0.9678362573099414
27;185;0.968534906588004
28;184;0.9683779761904762
29;182;0.9694444444444446
30;182;0.9694444444444446
31;178;0.9687541550325754
32;175;0.9682800109379273
33;172;0.9684105202973127
34;170;0.9676190476190476
35;168;0.9678004535147393
36;165;0.9677419354838711
37;160;0.9667163437655241
38;159;0.9662094345935095
39;157;0.9668715846994536
40;157;0.9668715846994536
ROC_AUC_SCORE weighted;0.8630012301084613;
F1_SCORE weighted;0.013453559616919497;
