SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.6757547088672917
2;227;0.6741125541125542
3;218;0.7067329833287279
4;213;0.7138082505729564
5;207;0.7308691308691309
6;200;0.7638053003906663
7;200;0.7565199028613664
8;198;0.8421165611248256
9;198;0.9006117849093056
10;198;0.9107008693785553
11;195;0.9084305524983491
12;195;0.9125027514858023
13;194;0.9185259185259185
14;192;0.9329627949183305
15;192;0.9328493647912887
16;192;0.9325090744101635
17;192;0.9325090744101635
18;192;0.9336433756805808
19;191;0.9334096109839817
20;191;0.9334096109839817
21;191;0.9332951945080091
22;190;0.9330563250230839
23;190;0.9330563250230839
24;189;0.9457309941520469
25;189;0.9457309941520469
26;189;0.9457309941520469
27;185;0.9456735496558506
28;184;0.9454365079365079
29;182;0.9484848484848485
30;182;0.9483585858585858
31;178;0.9464166999069272
32;175;0.9453103636860815
33;172;0.9445397369925672
34;170;0.9446153846153845
35;168;0.944368858654573
36;165;0.9439398684622612
37;160;0.9423745653253849
38;159;0.9421211107393778
39;157;0.9474043715846994
40;157;0.947233606557377
ROC_AUC_SCORE weighted;0.8895848865295474;
F1_SCORE weighted;0.0;
