SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.4552765115679023
2;227;0.45367965367965374
3;218;0.44542691351201985
4;213;0.45277883880825054
5;207;0.46138861138861137
6;200;0.44314222363002853
7;200;0.4628867067891459
8;198;0.43823119029730606
9;198;0.395996565418053
10;198;0.40656863797359666
11;195;0.3850429231785164
12;195;0.39434294519040275
13;194;0.3922188922188922
14;192;0.3925816696914701
15;192;0.384698275862069
16;192;0.3948502722323049
17;192;0.37670145190562615
18;192;0.3878743194192377
19;191;0.3755720823798627
20;191;0.3724828375286041
21;191;0.38729977116704806
22;190;0.38134810710987993
23;190;0.38048245614035087
24;189;0.37982456140350873
25;189;0.3680701754385965
26;189;0.3774269005847953
27;185;0.38132989183874133
28;184;0.38113839285714285
29;182;0.3830176767676768
30;182;0.36256313131313134
31;178;0.36298364579178305
32;175;0.36026797921793824
33;172;0.3653516295025729
34;170;0.31597069597069594
35;168;0.33189720332577477
36;165;0.3465393047290949
37;160;0.33656234475906605
38;159;0.35404817664770827
39;157;0.3193306010928961
40;157;0.3140368852459017
ROC_AUC_SCORE weighted;0.3896664723044834;
F1_SCORE weighted;0.0;
