SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.31745076115937043
2;227;0.314978354978355
3;218;0.3022013447545362
4;213;0.2913483575248281
5;207;0.27672327672327673
6;200;0.2612184563404076
7;200;0.2669200717981206
8;198;0.14843833852098318
9;198;0.09047976816571857
10;198;0.08060534506815499
11;195;0.08001320713185121
12;195;0.07748184019370462
13;194;0.06682206682206682
14;192;0.055127041742286755
15;192;0.055127041742286755
16;192;0.055127041742286755
17;192;0.05501361161524501
18;192;0.05399274047186933
19;191;0.054462242562929065
20;191;0.05446224256292907
21;191;0.054347826086956534
22;190;0.05447830101569714
23;190;0.05447830101569714
24;189;0.046666666666666655
25;189;0.046666666666666655
26;189;0.046666666666666655
27;185;0.04695181907571287
28;184;0.047371031746031744
29;182;0.044823232323232313
30;182;0.044823232323232313
31;178;0.04560563754819838
32;175;0.04675963904840033
33;172;0.04774156660949114
34;170;0.04761904761904761
35;168;0.04792139077853364
36;165;0.04917005950516755
37;160;0.05050505050505052
38;159;0.050351288056206096
39;157;0.04200819672131148
40;157;0.04200819672131148
ROC_AUC_SCORE weighted;0.10397108394710167;
F1_SCORE weighted;0.9081287854434377;
