SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.44435365958544776
2;227;0.44064935064935057
3;218;0.4333149120383163
4;213;0.4408422459893048
5;207;0.45354645354645357
6;200;0.45116671945940234
7;200;0.4539647344525394
8;198;0.7119244391971665
9;198;0.8554792315122894
10;198;0.883599871203177
11;195;0.8813009024873433
12;195;0.8919766674003962
13;194;0.9043179043179044
14;192;0.9231510889292196
15;192;0.9232078039927405
16;192;0.9234346642468241
17;192;0.923491379310345
18;192;0.9266674228675137
19;191;0.9260297482837528
20;191;0.9260297482837528
21;191;0.926029748283753
22;190;0.9257848568790397
23;190;0.9256694367497691
24;189;0.944795321637427
25;189;0.9447953216374269
26;189;0.944795321637427
27;185;0.9445673549655851
28;184;0.9441964285714286
29;182;0.947979797979798
30;182;0.9479797979797979
31;178;0.946815583034171
32;175;0.9455838118676511
33;172;0.9449685534591196
34;170;0.9447619047619047
35;168;0.944368858654573
36;165;0.9434700908236767
37;160;0.941049842689187
38;159;0.9411174305787889
39;157;0.950136612021858
40;157;0.950136612021858
ROC_AUC_SCORE weighted;0.8270152998292724;
F1_SCORE weighted;0.04643015876531557;
