SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.5832114904962586
2;227;0.5870995670995671
3;218;0.6139817629179332
4;213;0.6319709702062644
5;207;0.6652347652347652
6;200;0.6914792524548622
7;200;0.6926406926406927
8;198;0.797145003756574
9;198;0.8825802296876678
10;198;0.8987871632499732
11;195;0.9198767334360554
12;195;0.9213075060532687
13;194;0.9290709290709291
14;192;0.9353448275862069
15;192;0.9353448275862069
16;192;0.9345508166969148
17;192;0.9345508166969148
18;192;0.9364791288566243
19;191;0.9358123569794052
20;191;0.9358123569794052
21;191;0.9358123569794052
22;190;0.9355955678670359
23;190;0.9355955678670359
24;189;0.9422222222222222
25;189;0.9422222222222222
26;189;0.9422222222222222
27;185;0.9433382497541789
28;184;0.9428323412698412
29;182;0.9487373737373737
30;182;0.9487373737373737
31;178;0.9474803882462439
32;175;0.9461307082307904
33;172;0.9448256146369354
34;170;0.9449084249084249
35;168;0.9437641723356008
36;165;0.9422173504541185
37;160;0.940387481371088
38;159;0.9399464703914353
39;157;0.9434767759562842
40;157;0.9434767759562842
ROC_AUC_SCORE weighted;0.8726000656335288;
F1_SCORE weighted;0.0;
