SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
Diagnosis code
mean_open_cases
Activity code_376400.0
Age
Producer code_CHE1
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;228;0.46383417906596713
2;227;0.46354978354978355
3;218;0.4678087869577231
4;213;0.4663865546218487
5;207;0.4645354645354645
6;200;0.4621476084890719
7;200;0.4621476084890719
8;198;0.45454545454545453
9;198;0.45454545454545453
10;198;0.45454545454545453
11;195;0.4533898305084746
12;195;0.4533898305084746
13;194;0.452991452991453
14;192;0.4525862068965517
15;192;0.4525862068965517
16;192;0.4525862068965517
17;192;0.4525862068965517
18;192;0.4525862068965517
19;191;0.45217391304347826
20;191;0.45217391304347826
21;191;0.45217391304347826
22;190;0.4517543859649123
23;190;0.4517543859649123
24;189;0.4517543859649123
25;189;0.4517543859649123
26;189;0.4517543859649123
27;185;0.4557522123893805
28;184;0.45535714285714285
29;182;0.45454545454545453
30;182;0.45454545454545453
31;178;0.45871559633027525
32;175;0.45754716981132076
33;172;0.45754716981132076
34;170;0.45714285714285713
35;168;0.45714285714285713
36;165;0.4563106796116505
37;160;0.45454545454545453
38;159;0.45408163265306123
39;157;0.453125
40;157;0.453125
ROC_AUC_SCORE weighted;0.4559841528553347;
F1_SCORE weighted;0.1661444837466978;
