SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.29702586206896553
2;218;0.23759220471723888
3;203;0.2261126990608411
4;198;0.2267311988086374
5;191;0.32029837251356236
6;184;0.2264014466546112
7;183;0.30732716650438174
8;180;0.21594184734929192
9;180;0.22026569745582153
10;180;0.2634415340268204
11;178;0.22561053573711798
12;178;0.16947960618846697
13;178;0.2615394450837489
14;176;0.23391622080125277
15;176;0.19737700639436254
16;175;0.22786148559344438
17;175;0.2224425059476606
18;175;0.22819191118160193
19;172;0.23423793859649122
20;170;0.2762528153153153
21;165;0.2410175120772947
22;139;0.26662679425837316
23;118;0.26910755148741416
24;107;0.26104746317512273
25;102;0.4394946808510638
26;101;0.2651975683890578
27;96;0.26759259259259255
28;95;0.2556179775280899
29;93;0.3329545454545454
30;92;0.4019886363636364
31;89;0.43823529411764706
ROC_AUC_SCORE weighted;0.2572078818360522;
F1_SCORE weighted;0.0;
