SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.8687931034482759
2;218;0.8972771150168473
3;203;0.9104736627194773
4;198;0.9598978832039144
5;191;0.9589737793851717
6;184;0.9520192887281494
7;183;0.9594693281402144
8;180;0.9528763002882567
9;180;0.9526256423110666
10;180;0.9556335380373481
11;178;0.9682904999360694
12;178;0.9662447257383966
13;178;0.9546093849891318
14;176;0.9556309539344905
15;176;0.9575884118491452
16;175;0.9581020354216231
17;175;0.9684113137721385
18;175;0.9640496960084588
19;172;0.9610745614035088
20;170;0.9601632882882883
21;165;0.9580314009661836
22;139;0.9263157894736842
23;118;0.8594965675057208
24;107;0.7626841243862521
25;102;0.6143617021276596
26;101;0.5592705167173252
27;96;0.5092592592592592
28;95;0.5149812734082397
29;93;0.42954545454545456
30;92;0.2954545454545454
31;89;0.2970588235294118
ROC_AUC_SCORE weighted;0.8750329215972372;
F1_SCORE weighted;0.06580829061381623;
