SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.6799137931034483
2;218;0.8176850924323832
3;203;0.8800530828909758
4;198;0.9252207211998722
5;191;0.9347875226039783
6;184;0.9383966244725738
7;183;0.9625121713729308
8;180;0.9705476876801604
9;180;0.9770647950871036
10;180;0.9801980198019802
11;178;0.9814601713335891
12;178;0.9854238588415803
13;178;0.9875974939266079
14;176;0.9831658619339685
15;176;0.9810779068250033
16;175;0.9807031456515992
17;175;0.9768702088289718
18;175;0.9747554850647635
19;172;0.9736842105263157
20;170;0.9717060810810811
21;165;0.9714673913043479
22;139;0.9686602870813398
23;118;0.9510297482837529
24;107;0.936988543371522
25;102;0.9109042553191489
26;101;0.8981762917933129
27;96;0.9222222222222223
28;95;0.9307116104868914
29;93;0.9227272727272726
30;92;0.9005681818181818
31;89;0.9000000000000001
ROC_AUC_SCORE weighted;0.9365538418060868;
F1_SCORE weighted;0.03283934993005109;
