SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.16198275862068967
2;218;0.14943994171751207
3;203;0.11269906084115966
4;198;0.0773321987022657
5;191;0.06272603978300179
6;184;0.05557564798071129
7;183;0.04892891918208376
8;180;0.045995738814387774
9;180;0.04110790825918036
10;180;0.04085725028199025
11;178;0.04244981460171334
12;178;0.04129906661552232
13;178;0.046924945659122884
14;176;0.05037191700378441
15;176;0.05637478794205924
16;175;0.058947924927306376
17;175;0.06145915939730373
18;175;0.06291303198519693
19;172;0.05729166666666665
20;170;0.05180180180180177
21;165;0.05132850241545892
22;139;0.041626794258373206
23;118;0.05491990846681921
24;107;0.06710310965630115
25;102;0.11436170212765957
26;101;0.13829787234042554
27;96;0.12777777777777777
28;95;0.11423220973782772
29;93;0.14090909090909093
30;92;0.18465909090909088
31;89;0.20294117647058826
ROC_AUC_SCORE weighted;0.07747724343680593;
F1_SCORE weighted;0.7225756405375952;
