SELECTED COLUMNS;
Diagnosis Treatment Combination ID
Diagnosis
mean_open_cases
Diagnosis code
std_event_nr
mean_event_nr
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;225;0.8562931034482758
2;218;0.8816136963846644
3;203;0.8514699877501021
4;198;0.8659717051377512
5;191;0.8966998191681737
6;184;0.8970464135021097
7;183;0.9076192794547226
8;180;0.9077578643940343
9;180;0.9072565484396541
10;180;0.9184108284246145
11;178;0.9188083365298555
12;178;0.9056386651323362
13;178;0.9037207518220177
14;176;0.9120448910348428
15;176;0.9113924050632911
16;175;0.9204335183716627
17;175;0.9204335183716627
18;175;0.9200370076658736
19;172;0.9209155701754386
20;170;0.9179335585585586
21;165;0.9104770531400966
22;139;0.8712918660287081
23;118;0.756521739130435
24;107;0.7381342062193126
25;102;0.7313829787234042
26;101;0.6930091185410335
27;96;0.6481481481481481
28;95;0.649812734082397
29;93;0.7
30;92;0.7272727272727273
31;89;0.7088235294117647
ROC_AUC_SCORE weighted;0.8648775228084357;
F1_SCORE weighted;0.10694991555881674;
